theta0 theta1 theta2 fc_t_min
0.0523599 -0.418879 0.261799 1.0264
0.0523599 -0.418879 0.314159 0.868222
0.0523599 -0.418879 0.366519 0.842317
0.0523599 -0.418879 0.418879 0.926024
0.0523599 -0.418879 0.471239 0.758646
0.0523599 -0.418879 0.523599 0.860817
0.0523599 -0.418879 0.575959 0.928859
0.0523599 -0.418879 0.628319 1.08899
0.0523599 -0.418879 0.680678 0.857155
0.0523599 -0.418879 0.733038 0.765689
0.0523599 -0.418879 0.785398 0.658452
0.0523599 -0.418879 0.837758 0.950439
0.0523599 -0.418879 0.890118 0.953913
0.0523599 -0.418879 0.942478 0.670218
0.0523599 -0.418879 0.994838 0.650204
0.0523599 -0.418879 1.0472 0.651601
0.0523599 -0.471239 0 1.15072
0.0523599 -0.471239 0.0523599 1.29138
0.0523599 -0.471239 0.10472 1.29675
0.0523599 -0.471239 0.15708 1.11237
0.0523599 -0.471239 0.20944 1.25973
0.0523599 -0.471239 0.261799 1.06036
0.0523599 -0.471239 0.314159 0.930928
0.0523599 -0.471239 0.366519 1.0068
0.0523599 -0.471239 0.418879 1.02419
0.0523599 -0.471239 0.471239 0.953762
0.0523599 -0.471239 0.523599 0.908249
0.0523599 -0.471239 0.575959 1.05221
0.0523599 -0.471239 0.628319 0.873625
0.0523599 -0.471239 0.680678 0.825221
0.0523599 -0.471239 0.733038 0.824559
0.0523599 -0.471239 0.785398 0.910087
0.0523599 -0.471239 0.837758 0.912607
0.0523599 -0.471239 0.890118 0.673754
0.0523599 -0.471239 0.942478 0.636875
0.0523599 -0.471239 0.994838 0.794832
0.0523599 -0.471239 1.0472 0.757283
0.0523599 -0.523599 0 0.963797
0.0523599 -0.523599 0.0523599 1.1421
0.0523599 -0.523599 0.10472 1.24567
0.0523599 -0.523599 0.15708 1.16136
0.0523599 -0.523599 0.20944 1.29065
0.0523599 -0.523599 0.261799 1.09275
0.0523599 -0.523599 0.314159 1.02452
0.0523599 -0.523599 0.366519 0.795658
0.0523599 -0.523599 0.418879 0.96098
0.0523599 -0.523599 0.471239 0.959467
0.0523599 -0.523599 0.523599 0.83881
0.0523599 -0.523599 0.575959 0.843182
0.0523599 -0.523599 0.628319 0.793349
0.0523599 -0.523599 0.680678 0.681946
0.0523599 -0.523599 0.733038 0.968122
0.0523599 -0.523599 0.785398 0.870157
0.0523599 -0.523599 0.837758 0.621364
0.0523599 -0.523599 0.890118 0.62436
0.0523599 -0.523599 0.942478 0.890041
0.0523599 -0.523599 0.994838 0.0451659
0.0523599 -0.523599 1.0472 0
0.0523599 -0.575959 0 1.00356
0.0523599 -0.575959 0.0523599 0.897523
0.0523599 -0.575959 0.10472 1.25491
0.0523599 -0.575959 0.15708 1.10565
0.0523599 -0.575959 0.20944 1.30073
0.0523599 -0.575959 0.261799 1.12066
0.0523599 -0.575959 0.314159 0.997629
0.0523599 -0.575959 0.366519 0.884676
0.0523599 -0.575959 0.418879 0.844888
0.0523599 -0.575959 0.471239 0.829848
0.0523599 -0.575959 0.523599 0.871831
0.0523599 -0.575959 0.575959 0.803303
0.0523599 -0.575959 0.628319 0.803874
0.0523599 -0.575959 0.680678 0.543288
0.0523599 -0.575959 0.733038 0.600182
0.0523599 -0.575959 0.785398 0.561323
0.0523599 -0.575959 0.837758 0.855258
0.0523599 -0.575959 0.890118 0.420388
0.0523599 -0.575959 0.942478 0.223278
0.0523599 -0.575959 0.994838 0
0.0523599 -0.575959 1.0472 0
0.0523599 -0.628319 0 1.24732
0.0523599 -0.628319 0.0523599 1.135
0.0523599 -0.628319 0.10472 0.928641
0.0523599 -0.628319 0.15708 1.12824
0.0523599 -0.628319 0.20944 1.30824
0.0523599 -0.628319 0.261799 1.12817
0.0523599 -0.628319 0.314159 1.02001
0.0523599 -0.628319 0.366519 0.75031
0.0523599 -0.628319 0.418879 0.966476
0.0523599 -0.628319 0.471239 0.883887
0.0523599 -0.628319 0.523599 0.707433
0.0523599 -0.628319 0.575959 0.705277
0.0523599 -0.628319 0.628319 0.76112
0.0523599 -0.628319 0.680678 0.76121
0.0523599 -0.628319 0.733038 0.761653
0.0523599 -0.628319 0.785398 0.36146
0.0523599 -0.628319 0.837758 0.454223
0.0523599 -0.628319 0.890118 0.403342
0.0523599 -0.628319 0.942478 0
0.0523599 -0.628319 0.994838 0
0.0523599 -0.628319 1.0472 0
0.0523599 -0.680678 0 1.27194
